episode,env_steps,return,length,success,collisions,final_dist_m,goal_dist_m,alpha,curriculum_max_dist_m,target_entropy,stuck
350,40331,131.01,20,1,4,0.276,4.277,0.0688,4.41,-3.576,0
351,40547,-28.6,216,0,15,2.282,3.502,0.0662,4.41,-3.579,1
352,40559,-2.59,12,0,6,2.134,3.136,0.0662,4.41,-3.579,1
353,40565,-11.78,6,0,5,2.716,2.568,0.0661,4.41,-3.579,1
354,40574,128.38,9,1,0,0.241,3.125,0.0659,4.41,-3.58,0
355,40598,5.09,24,0,8,1.598,3.827,0.0659,4.41,-3.58,1
356,40638,-31.75,40,0,12,4.561,3.986,0.0657,4.41,-3.581,1
357,41031,111.64,393,1,0,0.279,3.407,0.0652,4.41,-3.586,0
358,41060,-29.87,29,0,7,5.192,3.75,0.0646,4.41,-3.587,1
359,41067,-4.1,7,0,5,1.206,1.831,0.0645,4.41,-3.587,1
360,41077,6.23,10,0,5,0.75,2.423,0.0643,4.41,-3.587,1
361,41111,-15.31,34,0,5,2.167,1.806,0.0643,4.41,-3.587,1
362,41123,-21.08,12,0,7,4.292,3.643,0.0642,4.41,-3.587,1
363,41136,133.36,13,1,0,0.276,3.677,0.0643,4.41,-3.588,0
364,41212,126.02,76,1,0,0.294,3.276,0.0645,4.41,-3.589,0
365,41564,-30.2,352,0,9,3.125,3.665,0.0652,4.41,-3.594,1
366,41567,108.93,3,1,0,0.273,1.181,0.0652,4.41,-3.594,0
367,41573,124.31,6,1,0,0.247,2.708,0.0651,4.41,-3.594,0
368,42073,-31.05,500,0,55,1.895,4.29,0.0656,4.41,-3.601,0
369,42126,136.45,53,1,0,0.252,4.162,0.0659,4.41,-3.602,0
370,42140,0.88,14,0,6,2.845,4.203,0.0659,4.41,-3.602,1
371,42320,-12.35,180,0,27,0.978,3.643,0.0666,4.41,-3.605,1
372,42349,3.47,29,0,7,1.273,3.164,0.0664,4.41,-3.605,1
373,42849,-19.74,500,0,4,1.696,3.022,0.0665,4.41,-3.612,0
374,42858,1.05,9,0,5,1.913,3.063,0.0664,4.41,-3.612,1
375,42885,134.21,27,1,1,0.294,4.05,0.0661,4.41,-3.613,0
376,42905,18.37,20,0,5,0.539,3.476,0.0658,4.41,-3.613,1
377,42941,127.19,36,1,3,0.211,3.711,0.0658,4.41,-3.613,0
378,42965,127.48,24,1,0,0.282,3.15,0.0659,4.41,-3.614,0
379,43465,-27.68,500,0,36,0.708,3.44,0.0671,4.41,-3.621,0
380,43496,0.4,31,0,11,0.683,3.078,0.0668,4.41,-3.621,1
381,43529,135.27,33,1,1,0.268,4.16,0.0666,4.41,-3.622,0
382,43560,119.37,31,1,1,0.24,2.532,0.0664,4.41,-3.622,0
383,43575,131.5,15,1,0,0.241,3.466,0.0662,4.41,-3.623,0
384,43599,117.92,24,1,0,0.298,2.21,0.0662,4.41,-3.623,0
385,43610,140.06,11,1,0,0.24,4.301,0.0662,4.41,-3.623,0
386,43618,130.09,8,1,0,0.255,3.303,0.0662,4.41,-3.623,0
387,43871,-39.29,253,0,46,3.283,3.619,0.0668,4.41,-3.627,1
388,44078,99.85,207,1,17,0.291,4.311,0.0677,4.41,-3.63,0
389,44083,123.74,5,1,0,0.199,2.598,0.0677,4.41,-3.63,0
390,44097,14.04,14,0,5,1.377,3.851,0.0677,4.41,-3.63,1
391,44105,122.05,8,1,0,0.088,2.333,0.0677,4.41,-3.63,0
392,44111,114.68,6,1,0,0.258,1.756,0.0676,4.41,-3.63,0
393,44124,128.19,13,1,0,0.19,3.074,0.0674,4.41,-3.63,0
394,44624,-37.67,500,0,35,1.574,3.307,0.0697,4.41,-3.637,0
395,44934,-35.14,310,0,14,3.454,4.29,0.0691,4.41,-3.642,1
396,44954,120.48,20,1,0,0.275,2.423,0.0691,4.41,-3.642,0
397,45454,-13.58,500,0,0,0.46,1.602,0.0694,4.41,-3.649,0
398,45464,-17.07,10,0,6,3.45,2.992,0.0693,4.41,-3.649,1
399,45473,126.27,9,1,0,0.178,2.85,0.0692,4.41,-3.65,0
400,45973,-11.95,500,0,9,0.934,4.039,0.0692,4.41,-3.657,0
401,45985,130.25,12,1,0,0.259,3.344,0.0671,4.41,-3.657,0
402,46009,125.3,24,1,6,0.147,3.997,0.0663,4.41,-3.657,0
403,46025,-2.21,16,0,5,3.408,4.266,0.0657,4.41,-3.657,1
404,46031,117.44,6,1,0,0.199,1.973,0.0654,4.41,-3.658,0
405,46052,20.88,21,0,6,0.759,4.152,0.0644,4.41,-3.658,1
406,46076,14.84,24,0,9,0.668,4.072,0.0636,4.41,-3.658,1
407,46087,-1.88,11,0,6,1.88,2.947,0.0632,4.41,-3.658,1
408,46101,134.32,14,1,0,0.26,3.762,0.063,4.41,-3.659,0
409,46143,-14.67,42,0,11,2.52,3.463,0.0623,4.41,-3.659,1
410,46152,133.87,9,1,0,0.23,3.662,0.0622,4.41,-3.659,0
411,46165,17.22,13,0,5,1.375,4.162,0.0621,4.41,-3.659,1
412,46180,127.16,15,1,0,0.171,2.962,0.0621,4.41,-3.66,0
413,46212,127.82,32,1,0,0.279,3.221,0.0621,4.41,-3.66,0
414,46381,-12.64,169,0,9,0.957,2.338,0.0619,4.41,-3.663,1
415,46401,-6.49,20,0,11,1.983,3.634,0.0618,4.41,-3.663,1
416,46901,-44.61,500,0,70,2.157,3.196,0.0623,4.41,-3.67,0
417,46913,129.89,12,1,1,0.188,3.437,0.0623,4.41,-3.67,0
418,46928,136.26,15,1,0,0.158,3.859,0.0623,4.41,-3.67,0
419,47140,123.05,212,1,3,0.221,4.187,0.0632,4.41,-3.673,0
420,47640,-65.18,500,0,12,4.212,2.594,0.0643,4.41,-3.681,0
421,47690,-6.32,50,0,11,2.387,4.205,0.0643,4.41,-3.681,1
422,47701,127.22,11,1,1,0.212,3.189,0.0642,4.41,-3.681,0
423,47714,128.02,13,1,1,0.122,3.189,0.0642,4.41,-3.682,0
424,48214,-37.37,500,0,0,4.119,2.881,0.0661,4.41,-3.689,0
425,48219,-10.25,5,0,5,3.836,3.836,0.0661,4.41,-3.689,1
426,48230,137.68,11,1,0,0.285,4.108,0.0661,4.41,-3.689,0
427,48244,137.75,14,1,0,0.241,4.086,0.0663,4.41,-3.689,0
428,48268,121.54,24,1,1,0.296,2.77,0.0664,4.41,-3.69,0
429,48284,127.81,16,1,0,0.235,3.096,0.0666,4.41,-3.69,0
430,48290,-8.65,6,0,5,1.558,1.723,0.0666,4.41,-3.69,1
431,48305,139.91,15,1,0,0.294,4.36,0.0665,4.41,-3.69,0
432,48324,-9.74,19,0,7,3.241,3.762,0.0665,4.41,-3.69,1
433,48337,135.43,13,1,0,0.204,3.812,0.0665,4.41,-3.691,0
434,48350,-5.37,13,0,7,2.561,3.489,0.0665,4.41,-3.691,1
435,48850,-15.3,500,0,2,1.766,3.136,0.0661,4.41,-3.698,0
436,48853,113.64,3,1,0,0.271,1.65,0.0661,4.41,-3.698,0
437,48919,-13.18,66,0,21,0.877,2.889,0.0649,4.41,-3.699,1
438,48941,138.9,22,1,0,0.208,4.208,0.0649,4.41,-3.699,0
439,49441,-11.82,500,0,0,2.42,3.738,0.0634,4.41,-3.706,0
440,49586,125.54,145,1,0,0.226,3.505,0.0624,4.41,-3.708,0
441,50086,-13.36,500,0,0,3.017,4.181,0.0621,4.41,-3.716,0
442,50098,138.53,12,1,0,0.292,4.205,0.0622,4.41,-3.716,0
443,50162,-24.74,64,0,6,4.378,3.424,0.0621,4.41,-3.717,1
444,50198,126.81,36,1,0,0.289,3.15,0.0624,4.41,-3.717,0
445,50207,-0.45,9,0,5,1.464,2.465,0.0625,4.41,-3.717,1
446,50224,137.15,17,1,0,0.186,3.986,0.0624,4.41,-3.717,0
447,50236,135.91,12,1,0,0.297,3.949,0.0623,4.41,-3.718,0
448,50388,-2.16,152,0,8,0.897,3.041,0.0628,4.41,-3.72,1
449,50397,130.65,9,1,0,0.224,3.334,0.0628,4.41,-3.72,0
450,50415,122.76,18,1,2,0.185,2.951,0.0629,4.41,-3.72,0
451,50433,140.45,18,1,0,0.123,4.259,0.0631,4.41,-3.72,0
452,50482,131.33,49,1,4,0.159,4.337,0.0633,4.41,-3.721,0
453,50536,123.27,54,1,5,0.189,3.786,0.0633,4.41,-3.722,0
454,50552,136.15,16,1,0,0.176,3.871,0.0633,4.41,-3.722,0
455,50571,127.19,19,1,4,0.228,3.842,0.0631,4.41,-3.722,0
456,50586,125.21,15,1,1,0.296,3.092,0.063,4.41,-3.723,0
457,50661,-16.62,75,0,14,1.491,3.004,0.0629,4.41,-3.724,1
458,51161,-40.5,500,0,6,4.449,4.1,0.064,4.41,-3.731,0
459,51247,2.17,86,0,8,1.747,3.994,0.064,4.41,-3.732,1
460,51251,109.58,4,1,0,0.24,1.219,0.064,4.41,-3.732,0
461,51266,131.69,15,1,0,0.248,3.492,0.0641,4.41,-3.732,0
462,51278,138.46,12,1,1,0.107,4.213,0.064,4.41,-3.733,0
463,51298,-33.25,20,0,6,5.718,3.693,0.0639,4.41,-3.733,1
464,51317,123.98,19,1,1,0.254,2.947,0.0639,4.41,-3.733,0
465,51328,-13.58,11,0,6,4.361,4.259,0.0639,4.41,-3.733,1
466,51828,-31.12,500,0,3,3.72,3.708,0.0661,4.41,-3.74,0
467,51921,-15.98,93,0,21,2.368,4.235,0.0658,4.41,-3.742,1
468,51933,141.09,12,1,0,0.222,4.391,0.0658,4.41,-3.742,0
469,52385,-70.11,452,0,50,4.345,2.594,0.0652,4.41,-3.748,1
470,52787,-28.94,402,0,21,0.47,2.585,0.0656,4.41,-3.754,1
471,52803,136.9,16,1,0,0.168,3.937,0.0655,4.41,-3.754,0
472,52818,15.08,15,0,6,0.627,3.411,0.0653,4.41,-3.755,1
473,52828,115.16,10,1,2,0.166,2.132,0.0652,4.41,-3.755,0
474,52851,7.56,23,0,9,0.713,3.384,0.065,4.41,-3.755,1
475,52884,105.63,33,1,2,0.09,1.219,0.0651,4.41,-3.755,0
476,53384,-14.83,500,0,0,3.336,4.353,0.0647,4.41,-3.763,0
477,53884,-60.6,500,0,8,5.772,3.812,0.0634,4.41,-3.77,0
478,53896,127.72,12,1,0,0.293,3.125,0.0635,4.41,-3.77,0
479,53926,110.54,30,1,0,0.219,1.423,0.0635,4.41,-3.77,0
480,53977,132.99,51,1,0,0.208,3.762,0.0637,4.41,-3.771,0
481,53989,136.86,12,1,0,0.273,4.019,0.0638,4.41,-3.771,0
482,54002,-3.82,13,0,7,1.4,2.483,0.0638,4.41,-3.771,1
483,54024,127.69,22,1,0,0.242,3.121,0.0636,4.41,-3.772,0
484,54524,-12.61,500,0,0,0.688,1.927,0.0637,4.41,-3.779,0
485,54546,128.81,22,1,1,0.163,3.354,0.0634,4.41,-3.779,0
486,54552,119.83,6,1,0,0.15,2.163,0.0633,4.41,-3.779,0
487,54582,-74.24,30,0,16,8.665,4.391,0.0626,4.41,-3.78,1
488,54763,-14.08,181,0,24,1.692,4.189,0.0625,4.41,-3.782,1
489,54809,5.03,46,0,7,0.798,2.932,0.0625,4.41,-3.783,1
490,54817,-10.01,8,0,6,3.977,4.216,0.0625,4.41,-3.783,1
491,54825,-6.66,8,0,6,3.457,4.031,0.0625,4.41,-3.783,1
492,54836,120.6,11,1,0,0.14,2.255,0.0626,4.41,-3.783,0
493,55336,-3.64,500,0,3,0.717,3.453,0.0619,4.41,-3.791,0
494,55346,131.42,10,1,0,0.216,3.407,0.0619,4.41,-3.791,0
495,55359,123.72,13,1,2,0.182,3.019,0.0618,4.41,-3.791,0
496,55366,127.22,7,1,0,0.228,2.985,0.0617,4.41,-3.791,0
497,55376,9.07,10,0,5,0.641,2.598,0.0615,4.41,-3.791,1
498,55876,-43.84,500,0,1,5.678,3.994,0.0616,4.41,-3.798,0
499,56111,-19.04,235,0,52,0.523,2.794,0.0603,4.41,-3.802,1
500,56119,128.31,8,1,1,0.229,3.3,0.0602,4.41,-3.802,0
501,56137,123.41,18,1,1,0.255,2.885,0.0603,4.41,-3.802,0
502,56226,-3.55,89,0,6,2.279,3.569,0.0595,4.41,-3.803,1
503,56233,124.72,7,1,0,0.202,2.708,0.0594,4.41,-3.803,0
504,56247,13.92,14,0,5,1.081,3.543,0.0594,4.41,-3.804,1
505,56253,122.77,6,1,0,0.172,2.478,0.0594,4.41,-3.804,0
506,56256,109.73,3,1,0,0.114,1.102,0.0594,4.41,-3.804,0
507,56756,-28.01,500,0,61,0.869,3.569,0.0604,4.41,-3.811,0
508,56781,-25.57,25,0,6,4.973,3.741,0.0604,4.41,-3.811,1
509,57281,-11.35,500,0,6,1.42,3.986,0.0612,4.41,-3.818,0
510,57290,117.27,9,1,0,0.241,2.012,0.0612,4.41,-3.818,0
511,57300,129.06,10,1,0,0.096,3.052,0.067,4.41,-3.819,0
512,57310,133.79,10,1,0,0.279,3.708,0.0667,4.41,-3.819,0
513,57330,-8.88,20,0,7,1.525,2.137,0.0657,4.41,-3.819,1
514,57345,16.67,15,0,5,1.439,4.181,0.0648,4.41,-3.819,1
515,57411,-13.1,66,0,14,2.582,4.401,0.0619,4.41,-3.82,1
516,57911,-26.28,500,0,14,0.909,3.581,0.0567,4.41,-3.827,0
517,57925,129.65,14,1,0,0.299,3.334,0.0567,4.41,-3.827,0
518,57973,125.74,48,1,0,0.16,2.974,0.0565,4.41,-3.828,0
519,57981,-12.6,8,0,5,2.404,2.184,0.0565,4.41,-3.828,1
520,58073,-31.15,92,0,14,3.47,3.616,0.0571,4.41,-3.83,1
521,58099,-28.99,26,0,6,4.983,3.414,0.0572,4.41,-3.83,1
522,58189,113.48,90,1,0,0.264,2.062,0.0579,4.41,-3.831,0
523,58203,134.73,14,1,0,0.258,3.801,0.0579,4.41,-3.831,0
524,58213,-0.58,10,0,5,2.338,3.331,0.0579,4.41,-3.832,1
525,58713,-20.98,500,0,0,3.321,3.723,0.0587,4.41,-3.839,0
526,58722,135.34,9,1,0,0.28,3.859,0.0587,4.41,-3.839,0
527,58728,130.04,6,1,0,0.173,3.207,0.0588,4.41,-3.839,0
528,58749,132.94,21,1,2,0.273,4.072,0.0588,4.41,-3.839,0
529,58898,-9.25,149,0,13,1.764,4.184,0.0588,4.41,-3.841,1
530,58938,122.93,40,1,0,0.236,2.729,0.0588,4.41,-3.842,0
531,59131,-8.87,193,0,10,1.772,3.851,0.0592,4.41,-3.845,1
532,59139,129.36,8,1,0,0.245,3.221,0.0592,4.41,-3.845,0
533,59162,-6.28,23,0,6,3.611,4.298,0.0588,4.41,-3.845,1
534,59168,-9.18,6,0,5,3.817,3.929,0.0588,4.41,-3.845,1
535,59179,136.21,11,1,0,0.267,3.943,0.0589,4.41,-3.845,0
536,59233,-19.12,54,0,8,4.418,4.376,0.0591,4.41,-3.846,1
537,59247,-20.06,14,0,5,4.766,3.83,0.059,4.41,-3.846,1
538,59252,-10.25,5,0,5,3.214,3.214,0.059,4.41,-3.846,1
539,59752,-56.03,500,0,11,3.866,2.962,0.0592,4.41,-3.854,0
540,59780,129.31,28,1,0,0.167,3.238,0.059,4.41,-3.854,0
541,59816,137.34,36,1,0,0.169,4.083,0.0588,4.41,-3.855,0
542,59849,138.86,33,1,0,0.284,4.334,0.059,4.41,-3.855,0
543,59909,130.53,60,1,2,0.083,3.836,0.0589,4.41,-3.856,0
544,59921,139.17,12,1,0,0.215,4.192,0.059,4.41,-3.856,0
545,60421,-20.92,500,0,2,3.211,4.019,0.0588,4.41,-3.863,0
546,60439,136.44,18,1,1,0.293,4.227,0.059,4.41,-3.863,0
547,60460,132.07,21,1,0,0.272,3.584,0.059,4.41,-3.864,0
548,60960,-20.88,500,0,6,2.58,4.192,0.0599,4.41,-3.871,0
549,60965,-10.25,5,0,5,3.531,3.531,0.0599,4.41,-3.871,1
550,60987,20.59,22,0,5,0.62,3.789,0.06,4.41,-3.871,1
551,61003,125.26,16,1,0,0.276,2.881,0.0601,4.41,-3.871,0
552,61073,11.31,70,0,6,1.308,3.988,0.0597,4.41,-3.872,1
553,61079,112.79,6,1,0,0.228,1.537,0.0597,4.41,-3.873,0
554,61579,-57.88,500,0,13,2.728,2.04,0.0601,4.41,-3.88,0
555,61583,116.18,4,1,0,0.295,1.933,0.06,4.41,-3.88,0
556,61591,116.59,8,1,0,0.28,1.979,0.06,4.41,-3.88,0
557,61628,130.42,37,1,1,0.262,3.69,0.0597,4.41,-3.88,0
558,61647,134.89,19,1,0,0.267,3.851,0.0595,4.41,-3.881,0
559,61726,-43.49,79,0,21,4.899,3.946,0.0594,4.41,-3.882,1
560,61827,0.34,101,0,5,2.599,4.138,0.0596,4.41,-3.883,1
561,62117,-31.52,290,0,31,3.015,4.314,0.0597,4.41,-3.887,1
562,62221,124.94,104,1,0,0.292,3.307,0.0592,4.41,-3.889,0
563,62232,120.79,11,1,0,0.086,2.22,0.0592,4.41,-3.889,0
564,62242,120.65,10,1,0,0.261,2.376,0.0591,4.41,-3.889,0
565,62259,6.36,17,0,5,1.5,3.221,0.0592,4.41,-3.889,1
566,62264,-10.25,5,0,5,2.602,2.602,0.0591,4.41,-3.889,1
567,62277,0.3,13,0,8,2.33,4.025,0.0591,4.41,-3.89,1
568,62296,139.84,19,1,0,0.23,4.308,0.0591,4.41,-3.89,0
569,62313,-5.9,17,0,9,1.413,2.708,0.0592,4.41,-3.89,1
570,62813,-20.47,500,0,2,2.696,3.55,0.058,4.41,-3.897,0
571,63313,-21.0,500,0,0,3.253,3.653,0.057,4.41,-3.904,0
572,63321,119.7,8,1,0,0.24,2.25,0.057,4.41,-3.905,0
573,63329,128.84,8,1,0,0.226,3.15,0.057,4.41,-3.905,0
574,63342,138.57,13,1,0,0.286,4.208,0.057,4.41,-3.905,0
575,63594,-11.42,252,0,28,0.946,4.064,0.057,4.41,-3.908,1
576,63619,9.54,25,0,6,1.65,3.929,0.0571,4.41,-3.909,1
577,63631,129.79,12,1,0,0.247,3.286,0.0572,4.41,-3.909,0
578,63708,111.59,77,1,10,0.236,3.78,0.0579,4.41,-3.91,0
579,63746,121.12,38,1,0,0.256,2.559,0.058,4.41,-3.911,0
580,63751,113.1,5,1,0,0.15,1.485,0.058,4.41,-3.911,0
581,63761,0.37,10,0,6,1.367,2.654,0.0581,4.41,-3.911,1
582,64261,-30.62,500,0,26,1.279,3.717,0.0583,4.41,-3.918,0
583,64275,-20.47,14,0,9,3.909,3.732,0.058,4.41,-3.918,1
584,64775,-41.9,500,0,28,2.544,3.854,0.0566,4.41,-3.925,0
585,64791,13.2,16,0,8,0.423,3.424,0.0564,4.41,-3.926,1
586,64859,83.45,68,1,11,0.238,1.122,0.0561,4.41,-3.927,0
587,65359,-35.28,500,0,1,4.673,3.845,0.0555,4.41,-3.934,0
588,65375,9.76,16,0,5,0.714,2.77,0.0556,4.41,-3.934,1
589,65385,131.81,10,1,0,0.143,3.374,0.0557,4.41,-3.934,0
590,65393,-14.6,8,0,6,4.549,4.329,0.0558,4.41,-3.934,1
591,65413,24.39,20,0,6,0.598,4.337,0.0559,4.41,-3.934,1
592,65913,-36.72,500,0,4,3.95,3.578,0.0557,4.41,-3.942,0
593,65953,-7.15,40,0,6,1.128,1.812,0.0561,4.41,-3.942,1
594,66453,-124.06,500,0,22,9.944,3.037,0.0583,4.41,-3.949,0
595,66464,135.53,11,1,0,0.202,3.81,0.0584,4.41,-3.949,0
596,66477,120.82,13,1,0,0.143,2.29,0.0585,4.41,-3.95,0
597,66532,-27.37,55,0,5,5.106,3.643,0.0587,4.41,-3.95,1
598,66609,113.69,77,1,0,0.236,1.99,0.0591,4.41,-3.952,0
599,66623,124.57,14,1,3,0.28,3.407,0.0592,4.41,-3.952,0
600,67123,-38.12,500,0,1,3.766,2.654,0.0594,4.41,-3.959,0
601,67146,5.38,23,0,5,2.333,3.986,0.0594,4.41,-3.959,1
602,67646,-23.8,500,0,0,2.738,2.858,0.0583,4.41,-3.966,0
603,67661,126.95,15,1,4,0.192,3.762,0.0584,4.41,-3.967,0
604,68161,-30.99,500,0,6,2.83,3.43,0.0586,4.41,-3.974,0
605,68179,134.51,18,1,0,0.209,3.75,0.0584,4.41,-3.974,0
606,68194,121.24,15,1,4,0.235,3.235,0.0583,4.41,-3.974,0
607,68231,134.47,37,1,0,0.233,3.865,0.0584,4.41,-3.975,0
608,68731,-92.27,500,0,0,11.103,4.376,0.0581,4.41,-3.982,0
609,68744,115.04,13,1,1,0.299,2.068,0.0582,4.41,-3.982,0
610,68765,-15.56,21,0,9,3.759,4.108,0.0584,4.41,-3.982,1
611,68780,120.16,15,1,0,0.243,2.333,0.067,4.41,-3.983,0
612,68865,124.07,85,1,5,0.273,4.105,0.0634,4.41,-3.984,0
613,68882,136.66,17,1,0,0.299,4.05,0.0628,4.41,-3.984,0
614,68912,129.07,30,1,0,0.236,3.293,0.0618,4.41,-3.984,0
615,68922,-6.4,10,0,6,1.322,1.933,0.0615,4.41,-3.985,1
616,68973,6.15,51,0,10,1.147,4.017,0.0601,4.41,-3.985,1
617,68995,133.13,22,1,0,0.211,3.634,0.0594,4.41,-3.986,0
618,69001,-8.32,6,0,5,3.702,3.9,0.0593,4.41,-3.986,1
619,69024,126.46,23,1,0,0.217,2.977,0.0591,4.41,-3.986,0
620,69030,-7.12,6,0,5,3.003,3.32,0.059,4.41,-3.986,1
621,69093,118.87,63,1,0,0.068,2.27,0.0581,4.41,-3.987,0
622,69593,-47.35,500,0,11,4.06,4.025,0.0554,4.41,-3.994,0
623,69602,119.35,9,1,0,0.28,2.26,0.0554,4.41,-3.994,0
624,69610,125.64,8,1,0,0.214,2.818,0.0553,4.41,-3.994,0
625,69624,138.22,14,1,0,0.249,4.141,0.0552,4.41,-3.995,0
626,69686,-17.12,62,0,18,1.318,2.916,0.0548,4.41,-3.996,1
627,70186,-24.88,500,0,1,3.841,4.053,0.054,4.41,-4.003,0
628,70686,-36.2,500,0,33,2.504,4.383,0.0532,4.41,-4.01,0
629,70721,134.54,35,1,0,0.18,3.81,0.0533,4.41,-4.01,0
630,70729,126.67,8,1,0,0.182,2.889,0.0533,4.41,-4.01,0
631,70735,122.06,6,1,0,0.265,2.501,0.0532,4.76,-4.011,0
632,70982,-7.12,247,0,8,1.933,4.056,0.0529,4.76,-4.014,1
633,71018,5.78,36,0,11,1.268,4.227,0.053,4.76,-4.015,1
634,71036,127.36,18,1,0,0.215,3.041,0.053,4.76,-4.015,0
635,71282,-56.2,246,0,29,4.744,3.354,0.0527,4.76,-4.018,1
636,71301,133.39,19,1,0,0.259,3.693,0.0527,4.76,-4.019,0
637,71311,132.05,10,1,0,0.234,3.489,0.0527,4.76,-4.019,0
638,71811,-29.6,500,0,0,4.565,4.105,0.0534,4.76,-4.026,0
639,71830,134.7,19,1,0,0.06,3.625,0.0536,4.76,-4.026,0
640,71871,12.59,41,0,9,1.119,4.383,0.0541,4.76,-4.027,1
641,71906,139.54,35,1,0,0.265,4.394,0.054,4.76,-4.027,0
642,71967,-52.72,61,0,7,6.059,2.492,0.054,4.76,-4.028,1
643,71982,128.04,15,1,0,0.217,3.096,0.0539,4.76,-4.028,0
644,72108,-32.76,126,0,21,3.171,3.524,0.0542,4.76,-4.03,1
645,72114,123.58,6,1,0,0.205,2.594,0.0543,4.76,-4.03,0
646,72128,11.05,14,0,5,0.99,3.164,0.0542,4.76,-4.03,1
647,72628,-23.36,500,0,3,2.563,3.327,0.0551,4.76,-4.038,0
648,72659,140.99,31,1,0,0.259,4.512,0.0548,4.76,-4.038,0
649,72674,134.5,15,1,0,0.192,3.717,0.0546,4.76,-4.038,0
650,72685,139.99,11,1,0,0.254,4.308,0.0545,4.76,-4.038,0
651,72959,5.62,274,0,7,0.789,4.122,0.055,4.76,-4.042,1
652,72978,-16.61,19,0,10,2.528,2.962,0.055,4.76,-4.043,1
653,72999,134.89,21,1,1,0.247,4.042,0.055,4.76,-4.043,0
654,73487,-30.63,488,0,10,2.857,4.235,0.0552,4.76,-4.05,1
655,73501,139.25,14,1,0,0.232,4.227,0.0552,4.76,-4.05,0
656,73541,-4.45,40,0,14,0.346,2.901,0.0551,4.76,-4.051,1
657,73562,117.88,21,1,0,0.244,2.137,0.0554,4.76,-4.051,0
658,73574,122.84,12,1,0,0.116,2.46,0.0554,4.76,-4.051,0
659,73584,117.82,10,1,0,0.257,2.089,0.0555,4.76,-4.051,0
660,73595,144.88,11,1,0,0.175,4.717,0.0555,4.76,-4.051,0
661,73626,129.84,31,1,1,0.173,3.511,0.0555,4.76,-4.052,0
662,73653,2.33,27,0,12,1.715,4.482,0.0556,4.76,-4.052,1
663,73664,128.89,11,1,0,0.181,3.125,0.0558,4.76,-4.052,0
664,73711,105.54,47,1,13,0.242,3.631,0.0556,4.76,-4.053,0
665,73732,-38.71,21,0,5,6.774,4.008,0.0557,4.76,-4.053,1
666,73805,115.74,73,1,4,0.298,3.037,0.0558,4.76,-4.054,0
667,74305,1.25,500,0,2,1.45,4.475,0.0551,4.76,-4.062,0
668,74805,-45.54,500,0,0,5.697,3.643,0.0542,4.76,-4.069,0
669,74829,129.16,24,1,4,0.212,4.047,0.0541,4.76,-4.069,0
670,74835,-10.06,6,0,5,3.893,3.917,0.0541,4.76,-4.069,1
671,74844,140.4,9,1,0,0.094,4.179,0.0542,4.76,-4.069,0
672,75156,116.04,312,1,0,0.299,3.463,0.0539,4.76,-4.074,0
673,75169,15.51,13,0,5,0.3,2.916,0.0537,4.76,-4.074,1
674,75183,143.29,14,1,0,0.158,4.557,0.0535,4.76,-4.074,0
675,75207,21.88,24,0,5,0.63,3.937,0.0534,4.76,-4.074,1
676,75707,-29.83,500,0,0,2.743,2.26,0.0525,4.76,-4.082,0
677,75713,122.22,6,1,0,0.19,2.442,0.0524,4.76,-4.082,0
678,75727,142.24,14,1,1,0.18,4.674,0.0523,4.76,-4.082,0
679,75740,138.03,13,1,0,0.157,4.025,0.0524,4.76,-4.082,0
680,75844,128.94,104,1,0,0.297,3.711,0.0525,4.76,-4.083,0
681,75864,30.15,20,0,5,0.628,4.743,0.0525,4.76,-4.084,1
682,75886,115.32,22,1,5,0.212,2.854,0.0524,4.76,-4.084,0
683,75896,0.28,10,0,5,2.015,3.092,0.0525,4.76,-4.084,1
684,75907,141.55,11,1,0,0.138,4.347,0.0525,4.76,-4.084,0
685,75912,-10.25,5,0,5,3.07,3.07,0.0526,4.76,-4.084,1
686,76368,-15.31,456,0,36,0.956,4.705,0.0529,4.76,-4.091,1
687,76395,8.04,27,0,7,0.899,3.238,0.0529,4.76,-4.091,1
688,76895,2.24,500,0,3,1.231,4.555,0.0544,4.76,-4.098,0
689,76909,144.32,14,1,0,0.189,4.691,0.0543,4.76,-4.099,0
690,76917,125.86,8,1,0,0.239,2.866,0.0542,4.76,-4.099,0
691,77417,-20.87,500,0,27,1.137,4.55,0.0542,4.76,-4.106,0
692,77441,135.54,24,1,0,0.241,3.914,0.0542,4.76,-4.106,0
693,77457,128.83,16,1,0,0.272,3.235,0.054,4.76,-4.107,0
694,77475,-16.21,18,0,5,3.699,3.168,0.054,4.76,-4.107,1
695,77492,141.99,17,1,0,0.218,4.502,0.0539,4.76,-4.107,0
696,77992,-24.12,500,0,6,3.401,4.689,0.0544,4.76,-4.114,0
697,78492,-39.22,500,0,23,2.627,4.205,0.0533,4.76,-4.121,0
698,78499,120.25,7,1,0,0.278,2.338,0.0532,4.76,-4.121,0
699,78978,-20.82,479,0,38,0.977,4.29,0.0529,4.76,-4.128,1
700,79476,91.75,498,1,3,0.186,2.451,0.0524,4.76,-4.135,0
701,79530,119.48,54,1,0,0.283,2.501,0.0525,4.76,-4.136,0
702,79661,82.45,131,1,23,0.253,2.153,0.0519,4.76,-4.138,0
703,79713,21.35,52,0,5,1.315,4.71,0.0517,4.76,-4.139,1
704,79731,133.92,18,1,0,0.183,3.665,0.0515,4.76,-4.139,0
