episode,env_steps,return,length,success,collisions,final_dist_m,goal_dist_m,alpha,curriculum_max_dist_m,target_entropy,stuck
80,18836,126.35,12,1,0,0.252,2.947,0.0675,3.0,-3.269,0
81,18855,116.53,19,1,0,0.292,2.04,0.0675,3.0,-3.269,0
82,18882,123.87,27,1,0,0.248,2.77,0.0673,3.0,-3.27,0
83,19382,-40.3,500,0,12,1.4,2.27,0.0685,3.0,-3.277,0
84,19449,-21.23,67,0,20,1.57,2.782,0.0687,3.0,-3.278,1
85,19496,118.48,47,1,0,0.212,2.295,0.0682,3.0,-3.279,0
86,19538,-15.94,42,0,15,0.579,2.194,0.0679,3.0,-3.279,1
87,20038,-14.41,500,0,2,0.592,2.051,0.0684,3.0,-3.286,0
88,20104,114.18,66,1,0,0.292,2.04,0.0682,3.0,-3.287,0
89,20178,114.6,74,1,0,0.259,2.089,0.0685,3.0,-3.288,0
90,20309,119.92,131,1,0,0.3,2.947,0.0674,3.0,-3.29,0
91,20314,-10.25,5,0,5,2.391,2.391,0.0674,3.0,-3.29,1
92,20372,117.06,58,1,0,0.213,2.21,0.0675,3.0,-3.291,0
93,20384,107.14,12,1,2,0.217,1.391,0.0675,3.0,-3.291,0
94,20389,118.38,5,1,0,0.264,2.127,0.0674,3.0,-3.291,0
95,20395,-7.04,6,0,5,1.553,1.879,0.0675,3.0,-3.291,1
96,20453,-28.65,58,0,18,1.067,1.492,0.0678,3.0,-3.292,1
97,20517,108.99,64,1,0,0.281,1.5,0.0685,3.0,-3.293,0
98,20525,-0.01,8,0,5,1.567,2.607,0.0684,3.0,-3.293,1
99,21025,-8.47,500,0,0,0.602,2.255,0.0707,3.0,-3.3,0
100,21525,-29.14,500,0,0,3.147,2.733,0.0709,3.0,-3.308,0
101,21726,105.15,201,1,0,0.261,1.781,0.0711,3.0,-3.31,0
102,21732,-6.16,6,0,5,2.046,2.46,0.0709,3.0,-3.31,1
103,21753,115.58,21,1,5,0.219,2.881,0.0706,3.0,-3.311,0
104,21767,113.35,14,1,0,0.279,1.684,0.0705,3.0,-3.311,0
105,21773,114.17,6,1,0,0.27,1.717,0.0705,3.0,-3.311,0
106,21783,-7.84,10,0,7,1.434,2.1,0.0706,3.0,-3.311,1
107,21789,-6.46,6,0,5,2.454,2.838,0.0706,3.0,-3.311,1
108,21812,-21.63,23,0,6,3.442,2.594,0.0707,3.0,-3.312,1
109,21819,-6.46,7,0,5,1.982,2.372,0.0706,3.0,-3.312,1
110,21884,97.84,65,1,6,0.286,1.595,0.0711,3.0,-3.313,0
111,21907,122.41,23,1,0,0.259,2.615,0.0715,3.0,-3.313,0
112,22407,-12.59,500,0,1,1.234,2.675,0.0727,3.0,-3.32,0
113,22448,-9.95,41,0,17,0.718,2.928,0.0721,3.0,-3.321,1
114,22468,-30.05,20,0,14,1.314,1.209,0.0718,3.0,-3.321,1
115,22481,125.04,13,1,1,0.147,2.916,0.0717,3.0,-3.321,0
116,22500,108.48,19,1,2,0.28,1.622,0.0718,3.0,-3.321,0
117,22535,117.19,35,1,0,0.275,2.169,0.0721,3.0,-3.322,0
118,22545,122.65,10,1,0,0.275,2.589,0.0723,3.0,-3.322,0
119,22561,123.44,16,1,0,0.297,2.721,0.0723,3.0,-3.322,0
120,22567,-7.98,6,0,5,1.718,1.95,0.0722,3.0,-3.322,1
121,22602,122.59,35,1,0,0.295,2.729,0.0719,3.0,-3.323,0
122,22914,103.02,312,1,0,0.291,2.153,0.0724,3.0,-3.327,0
123,22920,-8.5,6,0,5,2.529,2.708,0.0724,3.0,-3.327,1
124,22981,117.9,61,1,0,0.248,2.343,0.0718,3.0,-3.328,0
125,22998,-6.74,17,0,8,1.303,2.314,0.0718,3.0,-3.329,1
126,23006,115.41,8,1,0,0.274,1.855,0.0718,3.0,-3.329,0
127,23014,2.71,8,0,5,1.447,2.758,0.0719,3.0,-3.329,1
128,23082,-21.58,68,0,18,0.813,1.996,0.0726,3.0,-3.33,1
129,23090,124.48,8,1,0,0.212,2.7,0.0727,3.0,-3.33,0
130,23095,-10.25,5,0,5,2.862,2.862,0.0727,3.0,-3.33,1
131,23104,116.6,9,1,0,0.204,1.909,0.0727,3.0,-3.33,0
132,23123,124.16,19,1,0,0.292,2.802,0.0727,3.0,-3.33,0
133,23138,113.26,15,1,0,0.249,1.65,0.0727,3.0,-3.331,0
134,23146,-9.19,8,0,6,2.473,2.794,0.0728,3.0,-3.331,1
135,23646,-8.28,500,0,0,0.887,2.559,0.0751,3.0,-3.338,0
136,23655,-6.05,9,0,7,1.271,2.111,0.0751,3.0,-3.338,1
137,23669,126.97,14,1,0,0.191,2.958,0.0747,3.0,-3.338,0
138,23686,-9.56,17,0,9,1.532,2.46,0.0746,3.0,-3.338,1
139,23696,110.01,10,1,1,0.257,1.507,0.0747,3.0,-3.339,0
140,23732,-31.23,36,0,14,1.65,1.507,0.0749,3.0,-3.339,1
141,23814,-21.91,82,0,16,1.205,2.423,0.0741,3.0,-3.34,1
142,24314,-36.04,500,0,2,3.164,2.46,0.0736,3.0,-3.347,0
143,24322,126.93,8,1,0,0.194,2.928,0.0735,3.0,-3.347,0
144,24340,119.93,18,1,1,0.289,2.572,0.0734,3.0,-3.348,0
145,24354,4.35,14,0,5,0.843,2.348,0.0733,3.0,-3.348,1
146,24359,-10.25,5,0,5,1.831,1.831,0.0733,3.0,-3.348,1
147,24859,-15.3,500,0,0,1.214,2.184,0.0736,3.0,-3.355,0
148,24937,-35.71,78,0,22,2.868,2.687,0.073,3.0,-3.356,1
149,24959,117.3,22,1,3,0.28,2.721,0.0728,3.0,-3.357,0
150,24969,-7.65,10,0,7,1.816,2.501,0.0727,3.0,-3.357,1
151,24987,126.51,18,1,0,0.187,2.928,0.0727,3.0,-3.357,0
152,24992,-10.25,5,0,5,2.329,2.329,0.0727,3.0,-3.357,1
